index,CODE,COMM,SPEC
3,3,GRAY TRIGGERFISH,BALISTES CAPRISCUS
6,6,PLANEHEAD FILEFISH,STEPHANOLEPIS HISPIDUS
8,8,BOTHUS SP.,BOTHUS SP.
10,10,COD(ATLANTIC),GADUS MORHUA
11,11,HADDOCK,MELANOGRAMMUS AEGLEFINUS
12,12,WHITE HAKE,UROPHYCIS TENUIS
13,13,SQUIRREL OR RED HAKE,UROPHYCIS CHUSS
14,14,SILVER HAKE,MERLUCCIUS BILINEARIS
15,15,CUSK,BROSME BROSME
16,16,POLLOCK,POLLACHIUS VIRENS
17,17,TOMCOD(ATLANTIC),MICROGADUS TOMCOD
18,18,GADIFORMES,GADIFORMES
19,19,OFF-SHORE HAKE,MERLUCCIUS ALBIDUS
23,23,REDFISH UNSEPARATED,SEBASTES SP.
25,25,TILE FISH,LOPHOLATILUS CHAMAELEONTICEPS
28,28,NEALOTUS TRIPES,NEALOTUS TRIPES
30,30,HALIBUT(ATLANTIC),HIPPOGLOSSUS HIPPOGLOSSUS
31,31,"TURBOT,GREENLAND HALIBUT",REINHARDTIUS HIPPOGLOSSOIDES
38,38,SWALLOWERS,PSEUDOSCOPELUS SP.
39,39,BLACK SWALLOWER,CHIASMODON NIGER
40,40,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
41,41,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
42,42,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA
43,43,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS
44,44,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
49,49,FLOUNDER UNIDENTIFIED,PLEURONECTIDAE F.
50,50,STRIPED ATLANTIC WOLFFISH,ANARHICHAS LUPUS
51,51,SPOTTED WOLFFISH,ANARHICHAS MINOR
52,52,NORTHERN WOLFFISH,ANARHICHAS DENTICULATUS
60,60,HERRING(ATLANTIC),CLUPEA HARENGUS
61,61,SHAD AMERICAN,ALOSA SAPIDISSIMA
62,62,ALEWIFE,ALOSA PSEUDOHARENGUS
63,63,RAINBOW SMELT,OSMERUS MORDAX
64,64,CAPELIN,MALLOTUS VILLOSUS
65,65,SALMON(ATLANTIC),SALMO SALAR
70,70,MACKEREL(ATLANTIC),SCOMBER SCOMBRUS
72,72,SWORDFISH,XIPHIAS GLADIUS
78,78,BULLEYE,COOKEOLUS BOOPS
83,83,SPEARFISH REMORA,REMORA BRACHYPTERA
88,88,PILOTFISH,NAUCRATES DUCTOR
89,89,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS
90,90,UNID. FISH,"UNID. FISH (LARVAE,JUVENILE AND ADULTS)"
92,92,GREATER AMBERJACK,SERIOLA DUMERILI
94,94,ATLANTIC MOONFISH,VOMER SETAPINNIS
100,100,FINFISHES (NS),FINFISHES (NS)
102,102,SCUP,STENOTOMUS CHRYSOPS
109,109,DAINTY MORA,HALARGYREUS JOHNSONII
110,110,ARCTIC COD,BOREOGADUS SAIDA
111,111,SPOTTED HAKE,UROPHYCIS REGIA
112,112,LONGFIN HAKE,UROPHYCIS CHESTERI
113,113,BLUE ANTIMORA/HAKE,ANTIMORA ROSTRATA
114,114,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS
115,115,THREEBEARD ROCKLING,GAIDROPSARUS ENSIS
116,116,SILVER ROCKLING,GAIDROPSARUS ARGENTATUS
117,117,BLUE WHITING,MICROMESISTIUS POUTASSOU
118,118,GREENLAND COD,GADUS OGAC
119,119,ROCKLING UNIDENTIFIED,GAIDROPSARUS SP.
121,121,SOUTHERN SEA BASS,CENTROPRISTIS STRIATA
122,122,CUNNER,TAUTOGOLABRUS ADSPERSUS
123,123,ROSEFISH(BLACK BELLY),HELICOLENUS DACTYLOPTERUS
125,125,DIAPHUS EFFULGENS,DIAPHUS EFFULGENS
135,135,HYGOPHUM HYGOMI,HYGOPHUM HYGOMI
138,138,MIRROR LANTERNFISH,LAMPADENA SPECULIGERA
140,140,SMOOTH FLOUNDER,LIOPSETTA PUTNAMI
141,141,SUMMER FLOUNDER,PARALICHTHYS DENTATUS
142,142,FOURSPOT FLOUNDER,HIPPOGLOSSINA OBLONGA
143,143,BRILL/WINDOWPANE,SCOPHTHALMUS AQUOSUS
146,146,LAMPANYCTUS MACDONALDI,LAMPANYCTUS MACDONALDI
147,147,LAMPANYCTUS PUSILLUS,LAMPANYCTUS PUSILLUS
148,148,NOTCH FEELERFISH,BATHYPTEROIS DUBIUS
149,149,LONGNOSE GREENEYE,PARASUDIS TRUCULENTA
150,150,LANTERNFISH (NS),MYCTOPHIDAE
151,151,STOMIATOID UNIDENTIFIED,STOMIIDAE
152,152,DIAPHUS DUMERILII,DIAPHUS DUMERILII
155,155,LONGTOOTH ANGLEMOUTH,GONOSTOMA ELONGATUM
156,156,SHORT-NOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI
157,157,GLACIER LANTERNFISH,BENTHOSEMA GLACIALE
158,158,MUELLER'S PEARLSIDES,MAUROLICUS MUELLERI
159,159,BOA DRAGONFISH,STOMIAS BOA
160,160,ARGENTINE(ATLANTIC),ARGENTINA SILUS
163,163,"LANTERNFISH,HORNED",CERATOSCOPELUS MADERENSIS
